First name,Player,Team,Apps,Min,G,A,xG,xA
Mohamed,Salah,Liverpool,20,1786,16,9,15.61,6.22
Diogo,Jota,Liverpool,19,1404,10,1,11.72,3.72
Jamie,Vardy,Leicester,16,1325,9,1,6.06,1.18
Sadio,Mane,Liverpool,20,1713,8,1,10.5,3.39
Cristiano,Ronaldo,Manchester United,16,1300,8,3,9.92,1.66
Michail,Antonio,West Ham,19,1662,8,5,8.95,4.52
Son,Heung-Min,Tottenham,17,1499,8,3,6.96,3.38
,Raphinha,Leeds,17,1452,8,1,5.32,2.8
Emmanuel,Dennis,Watford,17,1321,8,5,3.51,2.55
Emile,Smith-Rowe,Arsenal,18,1208,8,2,3.48,2.22
Raheem,Sterling,Manchester City,17,1080,7,1,7.79,2.98
Neal,Maupay,Brighton,17,1288,7,1,5.92,1.55
Bernardo,Silva,Manchester City,20,1714,7,1,5.31,4.63
Mason,Mount,Chelsea,18,1245,7,5,5.08,4.18
Conor,Gallagher,Crystal Palace,17,1492,6,3,5.41,3.76
Callum,Wilson,Newcastle United,15,1201,6,0,5.13,0.44
Bukayo,Saka,Arsenal,20,1508,6,4,5.06,4.16
,Jorginho,Chelsea,18,1373,6,1,5.06,2.09
Maxwel,Cornet,Burnley,10,623,6,0,1.62,0.59
Trent,Alexander-Arnold,Liverpool,18,1596,2,9,1.33,8.12
Jarrod,Bowen,West Ham,20,1692,3,7,6.12,4.27
Gabriel,Jesus,Manchester City,17,1304,2,7,5.05,4.02
Paul,Pogba,Manchester United,9,635,0,7,1.59,1.6
Reece,James,Chelsea,16,1114,4,5,1.88,3.71
Mateo,Kovacic,Chelsea,13,933,2,5,1.37,2.42
Andrew,Robertson,Liverpool,14,1225,1,5,0.99,3.14
Riyad,Mahrez,Manchester City,16,823,6,4,5.3,3.19
Odsonne,Edouard,Crystal Palace,17,1045,5,4,5.65,1.57
Said,Benrahma,West Ham,20,1478,5,4,3.69,3.2
Kelechi,Iheanacho,Leicester,14,572,2,4,2.01,2.12
Abdoulaye,Doucouré,Everton,14,1260,2,4,1.69,1.64
Joao,Cancelo,Manchester City,20,1793,1,4,2.25,3.42
Declan,Rice,West Ham,19,1710,1,4,0.43,1.24
Nathan,Redmond,Southampton,16,1138,0,4,1.46,3.19
